Geneid,LNCAP_Hypoxia_S1,LNCAP_Hypoxia_S2,LNCAP_Normoxia_S1,LNCAP_Normoxia_S2,PC3_Hypoxia_S1,PC3_Hypoxia_S2,PC3_Normoxia_S1,PC3_Normoxia_S2
ENSG00000143437,3827,4218,3019,3652,516,179,193,580
ENSG00000143442,5692,6206,4382,4945,3486,1239,1104,3481
ENSG00000143443,33,58,49,86,100,43,59,134
ENSG00000143450,138,196,221,267,15,5,8,20
ENSG00000143452,0,0,0,0,0,0,0,1
ENSG00000143457,1795,2045,3339,4249,1585,545,671,1794
ENSG00000143458,927,1089,1691,2026,298,105,187,502
ENSG00000143469,2,1,0,1,405,119,160,492
ENSG00000143473,2,1,0,1,3,5,2,5
ENSG00000143476,1186,1402,1713,1626,3156,1211,1558,3921
ENSG00000143479,403,459,405,443,1237,346,428,1280
ENSG00000143486,1307,1387,1607,2167,1253,452,670,1818
ENSG00000143493,1519,1929,2091,2288,1833,506,586,1642
ENSG00000143494,634,774,714,728,86,44,99,251
ENSG00000143498,266,344,430,550,352,127,225,508
ENSG00000143499,394,526,138,179,1178,422,331,873
ENSG00000143502,342,366,404,553,113,26,35,101
ENSG00000143507,665,818,434,596,66,24,42,108
ENSG00000143512,32,63,51,77,157,46,35,95
ENSG00000143514,5135,5491,2919,3086,1401,470,319,966
ENSG00000143515,909,996,416,562,822,318,359,885
ENSG00000143520,1,1,0,0,8,2,2,14
ENSG00000143536,0,0,0,0,0,0,0,0
ENSG00000143537,4242,4924,4652,7758,3052,1191,1604,3935
ENSG00000143543,190,244,283,498,287,98,158,341
ENSG00000143545,1063,1109,1049,1301,353,98,137,336
ENSG00000143546,1,1,0,0,0,0,0,1
ENSG00000143549,11037,12107,11622,13003,811,274,313,990
ENSG00000143552,5,6,5,7,41,17,17,42
ENSG00000143553,643,757,667,796,350,156,178,430
ENSG00000143554,422,517,380,407,34,20,9,33
ENSG00000143556,0,0,0,0,0,0,0,0
ENSG00000143569,23707,27248,22188,26554,1630,526,659,2063
ENSG00000143570,39,29,22,34,23,8,17,32
ENSG00000143575,3325,4018,4973,7484,1560,590,962,2545
ENSG00000143578,942,1131,1920,2637,40,20,32,71
ENSG00000143590,1685,1869,742,850,171,78,18,64
ENSG00000143595,5,0,0,1,4,0,2,3
ENSG00000143603,12,5,5,14,120,28,47,187
ENSG00000143612,6692,7812,8111,10343,2338,770,1336,3329
ENSG00000143614,2079,2401,1613,1997,1427,442,420,1218
ENSG00000143621,13554,16003,13709,15829,9242,3041,3872,10012
ENSG00000143622,3511,3919,1887,2094,778,276,147,486
ENSG00000143624,5448,6061,5173,6015,2758,1024,685,1686
ENSG00000143627,4,4,1,2,1,1,0,2
ENSG00000143630,182,175,69,91,59,14,20,60
ENSG00000143631,26,34,17,8,140,56,44,111
ENSG00000143632,2,4,5,3,3,2,1,1
ENSG00000143633,1256,1534,2133,2510,210,84,140,381
ENSG00000143641,4880,5864,3840,4315,5055,1783,1894,4771
ENSG00000143643,2091,2562,2177,2117,571,152,210,559
ENSG00000143653,707,843,1034,1503,169,48,71,192
ENSG00000143669,932,1105,706,749,308,96,125,325
ENSG00000143674,612,656,375,379,543,228,266,753
ENSG00000143702,1719,1879,942,880,1114,339,302,888
ENSG00000143727,2607,3035,3228,3407,504,131,157,438
ENSG00000143740,1070,1242,969,1368,703,244,350,893
ENSG00000143742,15506,17037,15514,16577,4145,1355,1215,3277
ENSG00000143748,3704,4097,3995,4196,316,115,146,410
ENSG00000143751,2107,2519,2167,2405,476,180,242,701
ENSG00000143753,22735,24989,17828,19471,2360,777,707,1718
ENSG00000143756,5098,5729,4421,4547,2055,624,545,1541
ENSG00000143761,11704,13376,14115,19128,9613,3630,4303,10987
ENSG00000143768,0,0,0,0,0,0,0,0
ENSG00000143771,3303,3713,3021,3350,1886,616,565,1589
ENSG00000143772,808,989,1010,1276,575,168,173,452
ENSG00000143774,5417,5905,4301,6918,2996,1163,1310,3314
ENSG00000143776,6119,7105,6079,6536,4004,1249,1172,3241
ENSG00000143786,28,31,28,35,308,91,106,329
ENSG00000143793,1039,1139,1030,1282,148,67,105,222
ENSG00000143797,16923,21354,13590,14467,1475,458,375,1004
ENSG00000143799,15000,18245,18656,20639,5830,1835,2587,6553
ENSG00000143801,87,89,77,81,37,13,27,65
ENSG00000143811,1767,1824,1882,2619,239,115,193,469
ENSG00000143815,2993,3401,3028,2570,896,292,340,945
ENSG00000143816,101,117,82,133,31,12,9,22
ENSG00000143819,3762,4275,6499,8075,293,119,117,314
ENSG00000143839,34,47,12,13,4,2,3,7
ENSG00000143842,1058,1106,613,882,393,90,123,317
ENSG00000143845,94,144,3,19,412,147,183,453
ENSG00000143847,3046,3068,142,230,303,131,12,24
ENSG00000143850,1876,1986,2231,2858,363,132,175,447
ENSG00000143851,3,0,3,3,0,0,0,0
ENSG00000143858,15,8,18,11,9,3,3,11
ENSG00000143862,2634,2904,2059,2884,594,201,251,592
ENSG00000143867,0,0,0,0,60,25,20,68
ENSG00000143869,3,5,3,6,6,2,12,45
ENSG00000143870,5061,6078,7067,8058,3360,1173,1300,3113
ENSG00000143878,5434,6318,4328,5656,494,218,252,644
ENSG00000143882,55,72,40,71,30,13,8,16
ENSG00000143889,1840,1945,1132,1306,613,211,233,590
ENSG00000143891,5,3,5,5,316,111,190,537
ENSG00000143919,168,180,180,245,75,28,50,115
ENSG00000143921,2,2,1,1,5,2,1,9
ENSG00000143924,2801,3162,3233,3344,2565,909,1118,3304
ENSG00000143933,6236,7151,8769,9305,6452,2591,2288,7091
ENSG00000143942,217,245,399,427,213,69,131,292
ENSG00000143947,8121,9368,11022,14846,673,263,272,654
ENSG00000143951,168,220,270,317,130,36,52,121
ENSG00000143952,1714,1802,1519,1742,686,217,269,793
ENSG00000143954,0,0,0,0,0,0,0,0
ENSG00000143970,2260,2566,2257,2300,726,208,244,718
ENSG00000143971,1814,2077,1592,1497,635,241,201,630
ENSG00000143977,638,782,877,914,767,289,330,816
ENSG00000143994,13,20,14,20,29,7,11,21
ENSG00000143995,208,227,222,252,255,94,139,396
ENSG00000144010,2,1,0,1,0,0,0,0
ENSG00000144015,4,2,1,4,0,0,0,0
ENSG00000144021,3573,3983,3395,4137,2043,734,916,2547
ENSG00000144026,508,523,392,487,273,92,108,283
ENSG00000144028,11567,13389,11100,12734,1600,509,698,2091
ENSG00000144029,574,687,820,929,150,51,64,251
ENSG00000144031,6,2,0,4,3,0,0,2
ENSG00000144034,2123,2386,2728,2895,1201,387,414,965
ENSG00000144035,0,0,0,0,0,0,0,0
ENSG00000144036,915,1045,961,927,1676,523,572,1400
ENSG00000144040,1126,1307,1009,1367,374,101,155,385
ENSG00000144043,2713,3043,2857,3361,1587,602,742,1963
ENSG00000144045,315,362,314,353,11,7,8,20
ENSG00000144048,786,818,907,1010,712,215,305,815
ENSG00000144057,2,2,1,0,99,39,65,166
ENSG00000144061,473,446,520,623,153,45,74,220
ENSG00000144063,13,18,27,55,149,71,64,131
ENSG00000144115,2047,2287,2221,2705,66,26,24,67
ENSG00000144118,1146,1326,1586,1876,1748,578,428,1126
ENSG00000144119,0,0,0,0,0,0,0,0
ENSG00000144120,391,499,467,610,180,76,139,335
ENSG00000144130,6,1,11,12,15,5,5,31
ENSG00000144134,309,381,298,469,35,14,19,61
ENSG00000144136,1436,1613,1569,1902,7878,2758,4009,9830
ENSG00000144152,3,7,5,3,4,3,3,6
ENSG00000144158,25,29,22,28,3,3,0,0
ENSG00000144161,1115,1284,1615,1972,387,127,186,509
ENSG00000144182,98,124,242,258,115,55,74,177
ENSG00000144188,0,0,0,0,0,0,0,0
ENSG00000144191,0,0,0,0,0,0,0,0
ENSG00000144199,44,25,77,114,30,21,34,89
ENSG00000144214,35,44,28,38,9,2,3,6
ENSG00000144218,3012,3505,1584,1886,183,63,52,145
ENSG00000144224,7967,9079,7772,7937,5998,2013,1725,5104
ENSG00000144227,0,0,0,0,14,3,9,36
ENSG00000144228,2825,3146,2827,2684,1405,487,366,916
ENSG00000144229,0,0,0,0,2,0,3,4
ENSG00000144230,0,0,0,0,1,1,3,2
ENSG00000144231,1194,1426,1541,1803,320,110,220,547
ENSG00000144233,1299,1508,1123,1458,76,30,36,118
ENSG00000144278,4,0,4,5,305,91,78,240
ENSG00000144283,4100,4290,5039,6174,2917,996,1268,3616
ENSG00000144285,0,0,0,0,0,0,0,2
ENSG00000144290,0,2,0,8,7,6,1,5
ENSG00000144306,1670,1910,2685,3095,725,277,334,934
ENSG00000144320,5400,6233,2229,2146,6667,2154,1092,2986
ENSG00000144331,1627,1687,1143,1250,92,48,46,144
ENSG00000144339,3505,4034,5459,8811,2,2,0,0
ENSG00000144354,509,604,995,1101,603,256,400,1124
ENSG00000144355,135,161,93,92,119,46,75,215
ENSG00000144357,2971,3489,3111,2863,2054,614,670,1690
ENSG00000144362,234,351,205,236,49,11,21,61
ENSG00000144366,12887,14619,12923,11899,165,50,137,381
ENSG00000144369,4,6,9,3,551,177,281,815
ENSG00000144381,18357,19166,40504,40755,7107,2398,3213,8589
ENSG00000144395,424,495,199,219,231,67,86,274
ENSG00000144401,1151,1359,1037,1127,590,177,297,681
ENSG00000144406,53,50,81,87,26,7,9,29
ENSG00000144407,1,0,0,0,0,0,1,1
ENSG00000144410,4,2,2,8,0,0,0,1
ENSG00000144426,1647,2053,1467,1414,1350,419,391,1056
ENSG00000144445,4646,5271,1461,1463,497,199,219,587
ENSG00000144451,0,0,1,1,386,131,109,331
ENSG00000144452,90,99,347,335,3,1,1,1
ENSG00000144455,1012,1110,1173,1802,946,426,347,917
ENSG00000144460,0,0,0,0,0,0,0,0
ENSG00000144468,728,735,974,1285,437,147,194,534
ENSG00000144476,1146,1220,2319,3992,1086,508,20,64
ENSG00000144481,3366,3751,613,531,13,8,5,29
ENSG00000144485,538,735,735,2534,20,10,18,33
ENSG00000144488,0,3,0,3,0,0,2,1
ENSG00000144504,1108,1194,985,1254,107,34,52,159
ENSG00000144524,1147,1333,956,1232,657,209,304,822
ENSG00000144535,448,551,610,823,97,41,56,156
ENSG00000144550,10,11,10,12,3,1,1,5
ENSG00000144554,1399,1602,1923,1778,459,145,198,527
ENSG00000144559,464,453,430,647,224,98,150,366
ENSG00000144560,5069,5781,3427,3531,602,219,210,579
ENSG00000144566,4314,4736,3467,3959,1573,427,372,1229
ENSG00000144567,1399,1763,1448,1838,1875,728,778,1827
ENSG00000144579,1551,1633,999,1555,1167,461,378,930
ENSG00000144580,3110,3475,3375,3822,2958,987,1070,3289
ENSG00000144583,0,0,0,0,259,115,46,138
ENSG00000144589,245,307,195,251,222,103,70,167
ENSG00000144591,926,991,876,1267,1003,418,481,1346
ENSG00000144596,6,13,7,2,19,6,9,11
ENSG00000144597,1321,1472,1407,1971,534,174,202,636
ENSG00000144619,27,45,44,52,7,6,2,4
ENSG00000144635,1538,1947,2428,2838,1119,394,489,1347
ENSG00000144642,10,9,4,4,70,44,30,79
ENSG00000144644,1,0,0,0,1,3,0,4
ENSG00000144645,99,120,165,197,2508,810,677,1810
ENSG00000144647,1287,1316,985,1351,935,313,427,1145
ENSG00000144648,25,25,49,50,17,7,2,7
ENSG00000144649,20,16,44,61,176,81,69,156
ENSG00000144655,523,680,240,358,637,202,93,238
ENSG00000144659,1749,2122,1838,2488,378,141,204,519
ENSG00000144668,1,3,3,7,2,2,0,5
ENSG00000144671,9,6,7,9,3,1,2,5
ENSG00000144674,10317,12283,9218,9367,1598,461,608,1820
ENSG00000144677,1662,1935,1617,1875,712,213,271,798
ENSG00000144681,16,13,5,16,445,140,114,359
ENSG00000144711,2702,2910,2713,3615,253,66,124,324
ENSG00000144712,8,8,10,17,22,9,16,49
ENSG00000144713,27516,31825,37801,56783,9424,3376,4001,9969
ENSG00000144724,626,833,807,813,612,167,227,624
ENSG00000144730,193,152,211,263,317,96,215,574
ENSG00000144736,697,875,1190,1258,608,197,256,655
ENSG00000144741,412,467,442,547,97,33,26,101
ENSG00000144744,5058,5519,4617,4856,1228,355,347,1059
ENSG00000144746,7095,7435,9134,10403,1300,463,365,1191
ENSG00000144747,2581,3023,2575,2603,602,181,161,399
ENSG00000144749,769,891,1738,2079,143,55,57,179
ENSG00000144771,0,0,0,0,0,0,0,0
ENSG00000144785,0,0,0,0,0,0,0,0
ENSG00000144791,992,1154,1056,1425,625,246,312,826
ENSG00000144792,4,4,8,0,3,0,2,5
ENSG00000144802,207,258,241,272,739,228,602,1765
ENSG00000144810,0,1,2,0,617,206,208,604
ENSG00000144815,3583,3980,2738,3458,1624,460,593,1666
ENSG00000144820,0,0,0,0,3,0,0,0
ENSG00000144821,88,114,118,142,322,70,43,111
ENSG00000144824,10,17,93,102,5997,1936,2185,5750
ENSG00000144827,2126,2639,3433,3705,1357,408,525,1601
ENSG00000144834,1,0,0,0,277,87,80,226
ENSG00000144837,351,438,289,369,14,3,6,27
ENSG00000144840,1169,1268,1815,1912,309,117,165,403
ENSG00000144843,0,0,1,0,295,96,89,305
ENSG00000144847,12,17,15,11,22,13,27,70
ENSG00000144848,3311,3611,4471,4498,1568,514,887,2579
ENSG00000144852,1,0,0,0,3,1,0,1
ENSG00000144857,86,94,73,50,581,205,152,387
ENSG00000144867,3298,4314,4797,6152,1378,443,616,1587
ENSG00000144868,6,6,16,31,0,0,0,0
ENSG00000144891,0,0,0,0,676,209,145,419
ENSG00000144893,73,71,108,107,221,59,98,263
ENSG00000144895,6110,6965,8245,8852,4840,1743,1937,5532
ENSG00000144908,28,23,18,21,0,0,0,0
ENSG00000144909,1278,1441,1070,1202,858,214,276,799
ENSG00000144935,79,129,68,65,463,119,88,224
ENSG00000144959,902,986,604,608,3254,1005,1081,2655
ENSG00000144962,0,0,0,0,2,0,0,0
ENSG00000145002,22,17,35,59,0,0,3,4
ENSG00000145012,4757,5328,3580,4080,833,262,344,1020
ENSG00000145014,216,186,185,261,174,94,75,148
ENSG00000145016,802,756,477,628,223,49,92,275
ENSG00000145020,17,15,24,39,12,7,11,37
ENSG00000145022,1166,1450,1260,1460,274,115,154,375
ENSG00000145029,0,0,0,0,0,0,0,0
ENSG00000145040,67,105,20,19,1230,430,71,204
ENSG00000145041,3679,4066,3347,3898,1453,423,634,1733
ENSG00000145050,4703,6051,6675,8403,3029,1110,1162,2726
ENSG00000145063,0,2,0,2,1,0,0,2
ENSG00000145075,0,0,0,0,0,0,0,0
ENSG00000145087,5693,6623,3674,3626,57,18,23,67
ENSG00000145088,448,637,298,222,5,2,6,13
ENSG00000145103,0,1,0,1,11,2,8,11
ENSG00000145107,1,0,1,0,9,0,5,5
ENSG00000145113,20,52,38,84,6,0,2,8
ENSG00000145147,10,16,4,0,613,193,176,442
ENSG00000145191,3779,4640,3660,4137,1710,484,650,1803
ENSG00000145192,31,36,7,29,0,0,0,1
ENSG00000145194,0,0,0,0,0,0,0,0
ENSG00000145198,37,41,5,4,92,31,29,80
ENSG00000145214,827,954,914,1503,74,19,66,125
ENSG00000145216,1417,1714,1740,2131,797,277,360,1109
ENSG00000145217,473,500,377,485,7,2,7,27
ENSG00000145220,1963,2275,2756,3209,140,39,75,225
ENSG00000145241,947,1132,653,670,845,304,318,966
ENSG00000145242,19,25,9,7,42,14,10,41
ENSG00000145244,9,10,18,19,5,4,7,11
ENSG00000145246,71,73,204,275,560,185,295,710
ENSG00000145247,1818,2058,1352,2265,1332,462,611,1529
ENSG00000145248,1,1,0,1,3,1,1,3
ENSG00000145283,2,1,2,1,4,1,0,0
ENSG00000145284,2700,2789,2262,2317,944,362,242,702
ENSG00000145287,12,18,12,19,228,71,75,255
ENSG00000145293,2449,2975,3531,4126,240,82,137,311
ENSG00000145309,0,0,0,0,0,0,0,0
ENSG00000145321,1,0,0,1,1,0,0,0
ENSG00000145331,908,1005,1471,1576,193,59,67,235
ENSG00000145332,1734,2053,1689,1710,268,96,111,337
ENSG00000145335,10,10,2,3,9,3,4,27
ENSG00000145337,0,0,0,0,0,0,0,0
ENSG00000145348,1367,1435,1415,1601,424,157,184,554
ENSG00000145349,3765,4338,1725,1838,381,141,181,481
ENSG00000145354,1439,1945,2025,1904,572,208,208,570
ENSG00000145358,535,530,173,252,0,0,0,0
ENSG00000145362,6,3,12,13,152,59,72,191
ENSG00000145365,601,731,548,567,294,96,97,258
ENSG00000145375,992,1085,1100,1095,890,275,455,1238
ENSG00000145384,5,9,3,0,3,1,0,1
ENSG00000145386,2358,2648,3090,3237,2697,982,1016,2974
ENSG00000145388,1811,2117,1937,2090,454,154,177,528
ENSG00000145390,2458,2907,1977,1924,2580,802,694,1999
ENSG00000145391,15400,17947,20250,21499,1418,440,618,1921
ENSG00000145414,958,1146,1492,1943,163,57,76,187
ENSG00000145416,386,415,406,452,95,31,44,114
ENSG00000145423,1,0,3,3,0,0,1,6
ENSG00000145425,25958,28676,30853,46309,3067,1216,586,2961
ENSG00000145428,0,1,0,0,1,0,1,0
ENSG00000145431,3,5,8,2,825,259,202,528
ENSG00000145439,4556,5507,3274,3322,466,159,121,331
ENSG00000145451,0,0,3,1,1,0,0,0
ENSG00000145476,931,1131,1724,1959,65,31,46,140
ENSG00000145491,14,17,19,32,16,10,3,13
ENSG00000145494,2099,2549,2373,3364,452,152,300,625
ENSG00000145495,6097,6728,5971,6629,2589,923,964,2614
ENSG00000145506,270,257,235,334,88,26,36,120
ENSG00000145526,3,12,0,6,0,0,0,3
ENSG00000145536,0,0,2,0,347,155,153,342
ENSG00000145545,1632,1658,1287,1451,506,158,163,405
ENSG00000145555,1766,2023,2258,2475,405,135,185,512
ENSG00000145569,2046,2501,1435,1340,1679,441,518,1470
ENSG00000145592,34898,36886,41488,56302,12202,4115,4885,12373
ENSG00000145604,2396,2823,2757,2824,3485,1323,1641,4345
ENSG00000145623,240,277,256,345,3776,1296,604,1561
ENSG00000145626,0,0,0,0,0,0,0,0
ENSG00000145632,2392,3300,2282,3891,1055,366,698,1784
ENSG00000145642,1,4,0,0,4,0,6,7
ENSG00000145649,0,0,1,0,1,0,0,0
ENSG00000145675,7690,8923,9327,10654,309,68,97,272
ENSG00000145681,0,0,0,0,1,0,0,1
ENSG00000145685,444,455,255,227,1792,578,364,960
ENSG00000145687,675,753,615,759,386,154,155,458
ENSG00000145692,1,1,1,1,0,0,0,1
ENSG00000145700,102,124,116,110,13,7,8,21
ENSG00000145703,1219,1488,2617,2638,208,57,144,400
ENSG00000145708,0,0,3,0,0,0,0,0
ENSG00000145715,2800,3336,2701,2741,1550,535,465,1428
ENSG00000145721,4,3,1,2,0,0,0,1
ENSG00000145723,468,557,779,844,308,121,166,402
ENSG00000145725,1653,1855,1594,1736,2047,663,931,2454
ENSG00000145730,402,349,527,585,6285,2174,957,2724
ENSG00000145734,31897,34820,17025,15837,804,252,235,742
ENSG00000145736,810,1007,1160,1182,12,15,5,94
ENSG00000145740,2288,2554,2282,2733,609,218,301,751
ENSG00000145741,13918,14916,14186,19107,6655,2270,2143,6221
ENSG00000145743,12076,13144,11428,13796,294,95,99,225
ENSG00000145757,3,4,6,10,4,2,3,16
ENSG00000145777,7,10,14,31,0,0,0,0
ENSG00000145779,2834,3266,3048,3597,575,160,85,265
ENSG00000145780,2561,2915,2646,2680,1809,609,439,1258
ENSG00000145781,1132,1242,1477,1723,223,67,91,271
ENSG00000145782,2439,2619,2091,2407,960,362,308,810
ENSG00000145794,0,3,1,4,1,1,0,2
ENSG00000145808,0,0,0,0,9,3,5,16
ENSG00000145817,1640,2023,2332,2682,1012,332,304,746
ENSG00000145819,1037,1132,1224,1619,461,120,168,536
ENSG00000145824,0,0,0,0,0,0,0,0
ENSG00000145826,0,0,0,0,0,0,0,0
ENSG00000145832,31,38,35,110,3,1,3,9
ENSG00000145833,10491,11781,7619,8392,432,126,149,342
ENSG00000145835,0,0,0,0,0,0,0,0
ENSG00000145839,0,0,0,0,0,0,0,0
ENSG00000145850,0,0,5,7,2,0,0,0
ENSG00000145860,3397,4132,2351,2779,1091,382,245,681
ENSG00000145861,0,4,3,6,16,4,7,18
ENSG00000145863,0,0,0,0,3,0,1,5
ENSG00000145864,3,1,2,1,0,0,0,0
ENSG00000145868,3531,4188,2960,3050,1513,547,498,1278
ENSG00000145879,0,0,1,0,1,1,0,0
ENSG00000145882,1162,1245,2085,2607,272,152,297,751
ENSG00000145888,4,0,2,1,8,2,9,11
ENSG00000145901,3861,4010,1739,2793,1831,774,585,1579
ENSG00000145907,7400,8985,9927,11356,5483,1928,2081,5685
ENSG00000145908,3029,3565,2039,2073,1,0,1,0
ENSG00000145911,279,342,268,337,103,46,40,93
ENSG00000145912,1338,1595,1848,2762,386,140,236,478
ENSG00000145916,1582,1613,1335,1680,330,111,168,456
ENSG00000145919,2273,2622,2235,2666,619,195,327,864
ENSG00000145920,6,9,1,4,7,2,13,12
ENSG00000145934,63,86,16,32,170,56,22,80
ENSG00000145936,1,0,0,0,1,0,0,0
ENSG00000145945,1,0,2,6,0,0,0,0
ENSG00000145949,40,48,23,33,13,3,0,5
ENSG00000145975,7,11,5,4,17,6,5,21
ENSG00000145979,406,441,314,451,258,79,126,272
ENSG00000145982,287,263,432,674,235,87,134,322
ENSG00000145990,276,341,223,354,179,55,141,345
ENSG00000145996,405,438,361,403,665,221,259,695
ENSG00000146001,0,0,0,0,0,0,0,0
ENSG00000146005,6,7,5,4,3,0,0,4
ENSG00000146006,0,1,3,2,0,0,0,0
ENSG00000146007,5969,6668,6398,8376,182,79,97,262
ENSG00000146013,0,3,1,0,0,0,1,1
ENSG00000146021,54,54,76,105,378,137,99,239
ENSG00000146038,25,36,18,39,4,3,2,6
ENSG00000146039,6,3,2,1,0,0,0,0
ENSG00000146047,0,0,0,0,0,0,0,0
ENSG00000146049,0,0,0,0,0,0,0,0
ENSG00000146054,41,55,64,79,128,58,86,197
ENSG00000146063,2771,3018,2568,3219,199,67,95,254
ENSG00000146066,635,642,791,1427,337,137,201,546
ENSG00000146067,1743,1844,1043,1492,348,139,166,440
ENSG00000146070,295,316,309,380,74,29,75,219
ENSG00000146072,1252,1390,747,995,426,145,481,1290
ENSG00000146083,4428,4681,2975,4799,448,147,190,493
ENSG00000146085,1957,2198,2270,2395,654,236,249,646
ENSG00000146090,4,6,8,12,1,0,0,0
ENSG00000146094,1500,1834,316,445,259,92,38,96
ENSG00000146109,665,759,569,817,684,245,295,814
ENSG00000146112,709,667,187,298,1869,727,689,1988
ENSG00000146122,18,32,20,53,180,56,64,188
ENSG00000146143,298,370,435,512,657,224,269,622
ENSG00000146147,0,0,0,1,0,0,0,3
ENSG00000146151,1,0,0,0,9,1,2,11
ENSG00000146166,2,1,3,3,0,0,0,0
ENSG00000146192,0,1,3,6,0,1,0,1
ENSG00000146197,71,76,42,55,271,79,93,258
ENSG00000146205,1282,1367,267,416,51,12,17,44
ENSG00000146215,0,0,0,0,1,1,2,3
ENSG00000146216,20,24,32,47,0,1,1,0
ENSG00000146221,4,6,0,6,0,0,1,0
ENSG00000146223,7011,8286,8973,10291,2948,1020,1360,3404
ENSG00000146232,138,169,134,203,278,103,149,348
ENSG00000146233,340,376,318,361,149,45,94,194
ENSG00000146242,21,20,11,8,4294,1291,449,1239
ENSG00000146243,0,1,2,0,67,44,55,159
ENSG00000146247,3216,3741,3638,3335,3164,1003,925,2575
ENSG00000146250,0,0,0,0,40,6,5,26
ENSG00000146263,644,746,777,772,1285,418,477,1365
ENSG00000146267,265,311,314,331,187,83,121,313
ENSG00000146276,1,0,1,0,0,0,0,0
ENSG00000146278,1541,1686,939,963,1343,411,154,422
ENSG00000146281,5,20,17,15,1036,299,339,908
ENSG00000146282,797,901,947,969,836,299,330,923
ENSG00000146285,0,0,0,0,0,0,0,0
ENSG00000146350,683,742,681,760,202,81,84,215
ENSG00000146352,0,0,0,0,0,0,0,0
ENSG00000146360,1,0,0,0,0,0,0,0
ENSG00000146373,140,122,90,110,433,145,135,319
ENSG00000146374,0,0,0,1,2,0,1,6
ENSG00000146376,863,1009,1165,1247,209,49,127,323
ENSG00000146378,0,0,0,0,0,0,0,0
ENSG00000146383,0,0,0,0,0,0,0,0
ENSG00000146385,0,0,0,0,0,0,0,0
ENSG00000146386,1534,1789,1432,1423,597,196,195,501
ENSG00000146399,0,0,1,2,0,0,0,0
ENSG00000146409,514,541,558,816,369,104,107,343
ENSG00000146410,223,230,296,312,126,38,70,191
ENSG00000146411,1464,1495,1157,1181,150,57,69,224
ENSG00000146414,930,1140,893,846,597,179,254,669
ENSG00000146416,3740,4198,3821,4795,622,210,255,710
ENSG00000146425,1657,1969,1638,2252,1636,531,582,1662
ENSG00000146426,64,54,125,166,97,38,53,137
ENSG00000146433,1603,1927,1939,2152,1012,398,462,1325
ENSG00000146453,18,12,8,11,8,4,5,8
ENSG00000146457,3881,4734,3837,4323,1455,508,501,1347
ENSG00000146463,5135,6390,5201,5348,3380,1098,1046,2984
ENSG00000146469,0,0,0,0,0,1,1,0
ENSG00000146476,1577,1665,1238,1577,902,245,288,699
ENSG00000146477,931,967,1714,3219,162,47,90,221
ENSG00000146530,316,322,304,372,170,74,79,206
ENSG00000146535,1661,2051,2076,2690,1144,393,476,1247
ENSG00000146540,1001,1088,1228,2446,450,182,300,789
ENSG00000146555,99,94,43,45,245,116,76,202
ENSG00000146556,0,0,0,0,0,0,0,0
ENSG00000146574,406,483,405,384,118,35,46,133
ENSG00000146576,368,471,427,662,144,65,79,252
ENSG00000146587,2646,2958,2118,2062,1491,446,324,964
ENSG00000146592,313,320,163,252,874,365,419,1157
ENSG00000146618,0,0,0,0,0,0,0,0
ENSG00000146648,20257,20790,3194,3566,5702,1776,748,2108
ENSG00000146666,0,0,1,0,25,4,8,15
ENSG00000146670,975,1142,1240,1447,1526,542,689,1763
ENSG00000146674,12462,16778,6138,5742,19097,5829,248,776
ENSG00000146676,3232,3691,3034,3200,212,71,71,280
ENSG00000146677,263,282,384,539,158,59,35,102
ENSG00000146678,0,3,0,0,25,7,1,5
ENSG00000146700,49,63,43,51,23,9,14,32
ENSG00000146701,6158,6976,7291,11578,1549,673,813,1934
ENSG00000146707,407,508,549,558,17,13,19,30
ENSG00000146722,0,0,0,0,0,0,0,0
ENSG00000146729,4567,4916,4635,4906,1383,481,367,1071
ENSG00000146731,13989,16826,20754,22943,4200,1383,1623,4534
ENSG00000146733,1030,1094,1802,2549,460,184,212,532
ENSG00000146755,0,1,1,3,0,0,0,0
ENSG00000146757,1236,1490,1165,1087,1437,469,495,1429
ENSG00000146776,476,467,613,709,260,100,131,363
ENSG00000146802,1297,1556,2087,2113,371,115,139,435
ENSG00000146809,0,0,0,0,1,1,0,1
ENSG00000146826,273,314,278,498,191,57,107,220
ENSG00000146828,454,521,481,796,200,65,97,239
ENSG00000146830,3043,3206,1760,2523,559,212,332,743
ENSG00000146833,1926,2436,2214,2491,92,34,41,128
ENSG00000146834,502,657,581,737,208,80,94,245
ENSG00000146839,1,0,1,1,0,0,0,1
ENSG00000146842,938,997,1493,1593,966,375,448,1255
ENSG00000146856,223,242,275,299,46,19,23,70
ENSG00000146857,0,0,0,0,0,0,0,0
ENSG00000146858,150,160,105,111,308,142,103,243
ENSG00000146859,472,571,820,956,162,67,103,248
ENSG00000146872,2279,2664,2067,2330,538,153,161,495
ENSG00000146904,325,319,301,512,3,3,1,6
ENSG00000146909,1482,1593,1660,1971,128,43,66,155
ENSG00000146910,0,0,0,0,0,0,0,0
ENSG00000146918,3214,3964,2761,2825,1896,592,547,1418
ENSG00000146926,0,2,0,0,0,0,0,0
ENSG00000146938,1896,2091,1289,1404,773,209,316,901
ENSG00000146950,1366,1532,1582,1892,331,124,151,485
ENSG00000146955,52,72,117,228,1,1,0,1
ENSG00000146963,2164,2398,1873,2081,71,23,32,84
ENSG00000146966,1,1,6,10,364,136,154,369
ENSG00000147003,21,22,43,60,595,200,108,338
